Dates,SPX Index,QQQ US Equity,IWM US Equity,HYG US Equity,LQD US Equity,AGG US Equity,TLT US Equity,IEF US Equity,SHY US Equity,TIP US Equity,GLD US Equity,SLV US Equity,USO US Equity,VNQ US Equity,IYR US Equity
7/30/2010,1101.6,42.8823,59.208,59.4287,86.764,91.9903,83.1171,84.4322,81.3923,94.5526,115.49,17.58,35.34,40.0914,40.6198
8/2/2010,1125.86,43.6873,60.2379,59.7386,86.5803,91.865,81.9506,84.1713,81.3734,94.7237,115.54,17.96,36.48,41.437,41.8545
8/3/2010,1120.46,43.5001,59.7543,59.7386,86.7935,91.9249,82.4236,84.5669,81.4315,95.2224,115.99,18.02,36.91,41.0357,41.6343
8/4/2010,1127.24,43.9382,60.3827,59.7049,86.525,91.7624,81.7929,84.2152,81.3638,94.9018,116.72,17.93,36.9,41.3268,41.768
8/5/2010,1125.81,43.8371,59.6724,59.6778,86.683,91.8735,82.1747,84.6197,81.4605,95.2491,116.98,17.96,36.71,40.8075,41.249
8/6/2010,1121.64,43.7715,59.3173,59.6643,87.1805,92.0531,83.0709,85.1735,81.4798,95.3382,117.84,18.07,36.2,40.6186,41.1153
8/9/2010,1127.79,44.0711,59.9729,59.5563,87.4648,92.0531,82.7639,85.156,81.4315,95.2936,117.4,17.96,36.53,41.0829,41.5242
8/10/2010,1121.06,43.6896,58.8437,59.5361,87.3542,92.2071,82.9381,85.5867,81.4702,95.8814,117.73,17.97,35.87,40.6816,41.2018
8/11/2010,1089.47,42.4985,56.5308,58.7596,87.3463,92.2926,84.0502,86.0703,81.4895,95.8725,117.34,17.53,34.74,39.6665,40.2109
8/12/2010,1083.61,42.1615,56.2485,58.5571,87.0383,92.1472,83.8427,85.8505,81.4702,95.2402,118.77,17.69,33.92,39.1708,39.7469
8/13/2010,1079.25,41.8619,55.6111,58.8136,87.3779,92.361,84.8884,86.2197,81.4605,95.4896,118.74,17.74,33.79,39.1708,39.6604
8/16/2010,1079.38,41.9368,56.0573,58.8879,88.3414,92.6689,87.0129,86.844,81.5379,95.8012,119.73,18,33.61,39.1393,39.6997
8/17/2010,1092.54,42.4722,57.0225,59.1107,88.1993,92.5578,86.5149,86.4044,81.5185,95.5875,119.75,18.12,33.87,40.0364,40.5648
8/18/2010,1094.16,42.6389,57.1955,59.212,88.2782,92.4551,86.7473,86.3165,81.5379,95.5341,120.22,18.02,33.68,40.0718,40.5726
8/19/2010,1075.63,41.993,55.6293,59.0904,88.373,92.7545,88.1,86.7033,81.5572,95.543,120.39,17.92,33.25,39.0528,39.6525
8/20/2010,1071.69,42.0491,55.6839,59.2322,88.531,92.6262,88.0004,86.422,81.5282,95.4272,119.97,17.59,32.95,38.9269,39.5345
8/23/2010,1067.36,41.6373,54.9281,59.2322,88.7205,92.7203,88.017,86.5362,81.5379,95.4272,119.78,17.61,32.43,38.7223,39.3458
8/24/2010,1051.87,40.8603,54.2998,58.9217,88.9258,93.088,89.4278,87.222,81.5959,95.7478,120.36,17.99,31.77,38.5649,39.1728
8/25/2010,1055.33,41.2535,55.1192,58.8433,89.0917,92.8742,89.1373,86.8264,81.521,95.7478,121.36,18.54,32.37,39.1787,39.684
8/26/2010,1047.22,40.7573,54.7096,58.7596,89.1707,92.9939,89.9755,87.222,81.5185,96.2643,120.96,18.59,32.62,38.9426,39.4638
8/27/2010,1064.59,41.2535,56.1392,58.7529,88.3651,92.4808,87.4278,86.2197,81.4605,95.6944,121.01,18.7,33.57,39.5878,40.0929
8/30/2010,1048.92,40.8229,54.9099,58.8582,88.9416,93.1051,89.1008,86.8791,81.5572,96.1218,120.91,18.63,33.02,39.281,39.7233
8/31/2010,1049.33,40.6824,54.8006,58.8406,89.2417,93.1736,90.0917,87.266,81.5863,96.389,122.08,18.93,31.92,39.58,40.0929
9/1/2010,1080.29,41.8994,56.9223,59.4766,88.5714,92.975,88.2291,86.6377,81.54,95.9793,121.69,18.96,32.95,40.8705,41.3591
9/2/2010,1090.1,42.3674,57.5507,59.5718,88.4604,92.8549,87.2969,86.2763,81.5182,95.8011,122.29,19.28,33.39,41.3898,41.8781
9/3/2010,1104.51,43.0695,58.5797,59.7486,87.7946,92.6405,86.2148,85.7828,81.4794,95.6497,121.86,19.42,33.09,41.9957,42.4267
9/7/2010,1091.84,42.7793,57.4687,59.6602,88.4446,92.9064,87.9794,86.4614,81.5666,96.1842,122.7,19.36,32.77,41.3504,41.8388
9/8/2010,1098.87,43.2941,57.8056,59.6738,88.2702,92.8378,87.2802,86.2235,81.5085,95.8991,122.71,19.5,33.14,41.437,41.8624
9/9/2010,1104.18,43.4626,57.8421,59.9118,87.8104,92.3918,85.5573,85.5448,81.4214,95.6853,121.56,19.32,32.89,40.957,41.5478
9/10/2010,1109.55,43.6218,58.0242,60.0682,87.8738,92.1946,85.1661,85.298,81.4117,95.7833,121.73,19.42,33.77,41.1773,41.713
9/13/2010,1121.9,44.2302,59.4356,60.3777,87.9927,92.4004,85.5864,85.7035,81.4794,96.4336,121.62,19.54,34.03,41.854,42.3618
9/14/2010,1121.1,44.4174,59.1807,60.3675,88.405,92.7349,86.4063,86.1353,81.5375,96.3356,124.024,20.05,33.89,41.6967,42.2399
9/15/2010,1125.07,44.6983,59.5153,60.3131,88.2623,92.5633,85.1244,85.8357,81.5569,96.1307,123.94,20.17,33.49,42.0586,42.5702
9/16/2010,1124.66,44.8761,59.1351,60.4151,87.9848,92.409,84.2838,85.536,81.5763,95.9348,124.63,20.35,32.98,41.8383,42.3421
9/17/2010,1125.59,45.0324,59.381,60.5239,88.2702,92.529,84.625,85.7299,81.5956,95.6586,124.5425,20.29,32.65,41.9642,42.468
9/20/2010,1142.71,45.8157,61.0315,60.6191,88.3812,92.5633,85.1161,85.9943,81.6053,96.0327,124.87,20.29,33.219,42.9872,43.4196
9/21/2010,1139.78,45.8065,60.6741,60.5171,89.055,92.9578,86.2981,86.7963,81.6634,97.262,126.01,20.59,32.65,42.3576,42.7354
9/22/2010,1134.28,45.6845,59.9547,60.2723,88.9995,92.9836,87.0721,86.9285,81.6537,97.3956,126.2,20.712,32.58,41.7832,42.295
9/23/2010,1124.83,45.6657,59.2292,60.1158,89.0629,93.0865,87.3235,87.0519,81.6634,97.3243,126.3,20.66,32.67,40.7524,41.346
9/24/2010,1148.67,46.5946,61.1555,60.3539,88.8647,92.7434,86.1482,86.6201,81.6537,96.8389,126.69,21.01,33.4,41.9053,42.4725
9/27/2010,1142.16,46.3413,61.0003,60.4559,89.3245,93.0608,87.6465,87.2899,81.6731,97.1195,126.72,20.99,33.24,41.3892,42.0521
9/28/2010,1147.7,46.3225,61.6028,60.5443,89.4831,93.2837,88.2458,87.5808,81.6924,97.7964,127.85,21.29,33.19,41.5559,42.1631
9/29/2010,1144.73,46.2475,61.7762,60.6871,89.3959,93.2151,87.8795,87.3692,81.6731,97.36,127.95,21.4,33.94,41.2304,41.8537
9/30/2010,1141.2,46.041,61.621,60.9931,89.6495,93.1808,87.8213,87.2635,81.6828,97.1462,127.91,21.31,34.84,41.3495,41.9489
10/1/2010,1146.24,45.9847,61.9497,61.0732,89.2148,93.0729,87.397,87.3106,81.6977,97.4096,128.91,21.65,35.63,41.5559,42.1552
10/4/2010,1137.03,45.4874,61.1098,60.861,89.358,93.2277,87.6226,87.6198,81.7074,97.5612,128.46,21.51,35.59,41.937,42.5122
10/5/2010,1160.75,46.5946,62.8443,61.08,89.541,93.2277,87.0963,87.6375,81.7461,98.1855,130.99,22.34,36.09,42.6039,43.0675
10/6/2010,1159.97,46.1912,62.6344,61.0252,90.122,93.3222,88.1907,88.2029,81.7558,99.0507,131.81,22.69,36.28,42.3737,42.9405
10/7/2010,1158.06,46.36,62.4518,61.1485,90.0981,93.3652,87.4555,88.2912,81.8237,98.8277,130.37,22.02,35.46,42.4928,43.0357
10/8/2010,1165.15,46.6791,63.246,61.3538,90.0106,93.5544,87.0712,88.3266,81.8237,99.4788,131.66,22.73,36.15,42.6119,43.0913
10/11/2010,1165.32,46.6978,63.3008,61.4839,90.0901,93.5028,87.0879,88.4149,81.8334,99.4788,132.292,22.78,35.6,42.6039,43.0278
10/12/2010,1169.77,47.0168,63.4651,61.4291,89.9549,93.4082,86.2274,88.1587,81.7752,99.1755,131.96,22.84,35.65,42.9056,43.4006
10/13/2010,1178.1,47.4015,64.4328,61.6345,89.9071,93.3996,86.0937,88.1587,81.7849,99.7731,134.07,23.49,36.16,43.3503,43.829
10/14/2010,1173.81,47.3077,64.3871,61.3401,89.1829,93.0557,84.8055,87.6551,81.7461,100.0852,134.75,24.028,36,43.2391,43.6942
10/15/2010,1176.19,48.3116,64.168,61.4976,88.6179,92.8666,83.7712,87.2753,81.7752,99.4431,133.68,23.75,35.47,43.1835,43.6704
10/18/2010,1184.71,48.1334,64.7067,61.4154,89.2307,93.1933,84.4479,87.6905,81.7946,99.666,134.28,23.96,36.28,43.7393,43.4482
10/19/2010,1165.9,47.683,63.4468,61.4086,89.2386,93.2707,84.9575,87.9909,81.8334,99.7196,130.11,22.84,34.62,43.1994,43.6624
10/20/2010,1178.17,48.0302,64.095,61.6002,89.3978,93.3824,85.1413,87.9378,81.843,99.6928,131.32,23.33,35.59,44.1442,44.535
